#==============================================================================
# DATASET #0
#==============================================================================
0 -1.58925
3e-10 -0.717116
6e-10 -1.14727
9e-10 -1.82206
1.2e-09 -3.30477
1.5e-09 -6.15256
1.8e-09 -12.1167
2.1e-09 -15.6844
2.4e-09 -15.8273
2.7e-09 -16.0202
3e-09 -16.0615
3.3e-09 -15.8256
3.6e-09 -16.0621
3.9e-09 -15.5888
4.2e-09 -16.0246


#==============================================================================
# DATASET #1
#==============================================================================
0 -1.58925
3e-10 -0.717116
6e-10 -1.14727
9e-10 -1.82206
1.2e-09 -3.30477
1.5e-09 -6.15256
1.8e-09 -12.1167
2.1e-09 -15.6844
2.4e-09 -15.8273
2.7e-09 -16.0202
3e-09 -16.0615
3.3e-09 -15.8256
3.6e-09 -16.0621
3.9e-09 -15.5888
4.2e-09 -16.0246


